NF1 chr17:31094927-31377677
SUZ12 chr17:31937007-32001038
EED chr11:86244753-86278810
CDKN2A chr9:21967753-21994624
TP53 chr17:7668402-7687538
PTEN chr10:87863625-87971930
RB1 chr13:48303726-48481890
ERBB2 chr17:39700080-39728662
ERBB3 chr12:56079861-56103505
KIT chr4:54657918-54740715
EGFR chr7:55019017-55211628
HGF chr7:81694570-81774488
SOX9 chr17:72121020-72126416
MET chr7:116672392-116798386
PDGFRA chr4:54229293-54298245
AURKA chr20:56369390-56392337
AURKB chr17:8203274-8212036
NF2 chr22:29603633-29698598
LZTR1 chr22:20982297-20999032
CXCR4 chr2:136114254-136118518
TWIST1 chr7:19114925-19118178
BCR chr22:23180509-23318037
BIRC5 chr17:78214253-78225635
EZH1 chr17:42698275-42747078
EZH2 chr7:148805377-148886325
ETS1 chr11:128461766-128522304
ETS2 chr21:38805183-38824955
ID1 chr20:31605289-31606510
SP1 chr12:53380176-53416446
HBP1 chr7:107168961-107202508
MYBL2 chr20:43667114-43716482
JUNB chr19:12791486-12793315
JUN chr1:58780791-58784047
